date,S199,S200,S332B,S332BN,S332C,S332D,S332DX1,S12A,S12B,S12C,S12D,S333,S333N,S334,S343A,S343B,S344,S356,S333_T,S343B_T,S334_H,SWEVER4_stage,TSH_stage,NP62_stage,G620_water_level,NESRS1,NESRS2,S12A_T,S12B_T,S12C_T,S12D_T,S18C,NP205_rain,NP205_stage,NP205_PET,P33_rain,P33_stage,P33_PET
2020-10-16,242.17,279.69,218.42,218.42,445.77,481.38,0.0,460,382.0,478,895,1177.66,54.37,0.0,0.0,0.0,111.33,451.26,8.36,8.9,8.24,2.92,3.03,4.04,7.43,7.75,7.94,10.01,10.03,10.06,10.14,289.0,2.28,6.925,2.09,0.106,7.133,2.09
2020-10-17,296.05,294.85,265.13,265.13,587.35,556.24,0.0,490,405.0,508,942,1496.92,54.37,0.0,0.0,0.0,115.62,531.02,8.48,9.05,8.33,2.95,3.08,4.05,7.48,7.85,7.96,10.16,10.17,10.17,10.18,274.0,0.01,7.025,3.87,0.0,7.133,3.87
2020-10-18,277.85,294.24,264.23,264.23,514.45,503.14,0.0,472,394.0,498,926,1459.37,54.37,0.0,0.0,0.0,119.9,454.09,8.47,9.01,8.32,2.93,3.06,4.05,7.49,7.89,7.98,10.12,10.13,10.13,10.15,252.0,0.0,7.008,3.51,0.088,7.138,3.51
2020-10-19,224.13,294.72,264.39,264.39,491.06,537.91,0.0,466,392.0,498,928,1406.97,54.37,0.0,0.0,0.0,124.18,399.97,8.47,8.99,8.32,2.91,3.05,4.06,7.49,7.95,8.02,10.11,10.12,10.12,10.14,227.0,0.11,6.986,1.98,0.256,7.167,1.98
2020-10-20,260.51,295.06,263.38,263.38,489.25,558.77,0.0,472,399.0,512,963,1198.68,54.37,0.0,0.0,0.0,128.46,488.76,8.47,8.99,8.36,2.9,3.06,4.11,7.5,7.98,8.06,10.12,10.13,10.14,10.17,276.0,0.37,6.977,1.27,0.678,7.195,1.27
2020-10-21,299.42,299.77,268.2,268.2,597.5,569.57,0.0,545,459.0,602,1180,2.73,54.37,0.0,0.0,0.0,132.74,533.05,8.53,9.07,8.41,3.04,3.25,4.4,7.56,8.32,8.32,10.28,10.32,10.36,10.45,1130.0,1.38,7.037,0.6,2.167,7.375,0.6
2020-10-22,299.28,300.42,249.94,249.94,632.25,569.49,0.0,582,484.0,628,1230,0.0,54.37,0.0,0.0,0.0,137.02,521.26,8.51,9.1,8.39,3.18,3.4,4.66,7.59,8.37,8.32,10.35,10.38,10.41,10.49,1490.0,0.05,7.075,2.39,0.159,7.496,2.39
2020-10-23,298.03,298.83,323.41,268.41,630.08,567.84,0.0,583,485.0,633,1230,0.0,54.37,0.0,0.0,0.0,141.31,530.23,8.46,9.09,8.35,3.19,3.4,4.66,7.6,8.32,8.29,10.35,10.38,10.41,10.49,1240.0,0.0,7.05,3.4,0.0,7.5,3.4
2020-10-24,297.71,297.73,473.25,264.12,628.48,568.9,0.0,583,489.0,640,1250,0.0,54.37,0.0,0.0,0.0,145.59,532.65,8.41,9.08,8.32,3.21,3.42,4.66,7.6,8.29,8.25,10.35,10.38,10.42,10.49,921.0,1.09,7.034,1.89,0.59,7.514,1.89
2020-10-25,298.12,298.6,534.53,267.67,627.89,567.7,0.0,595,498.0,654,1290,0.0,54.37,0.0,0.0,0.0,149.87,534.42,8.42,9.1,8.33,3.26,3.5,4.68,7.64,8.31,8.27,10.38,10.4,10.44,10.53,1070.0,0.1,7.075,1.98,0.326,7.586,1.98
2020-10-26,297.59,297.85,438.42,168.99,627.94,546.74,0.0,597,499.0,659,1300,0.0,54.37,0.0,0.0,0.0,154.15,533.96,8.4,9.09,8.31,3.29,3.49,4.67,7.63,8.28,8.24,10.38,10.4,10.44,10.53,981.0,0.07,7.032,3.18,0.317,7.577,3.18
2020-10-27,297.39,297.36,488.38,221.47,627.64,565.95,0.0,602,504.0,667,1310,0.0,54.37,0.0,0.0,0.0,158.43,532.53,8.38,9.09,8.27,3.27,3.47,4.69,7.64,8.26,8.22,10.39,10.41,10.45,10.54,838.0,0.0,7.011,3.74,0.0,7.578,3.74
2020-10-28,297.15,297.0,436.18,173.2,610.84,555.79,0.0,601,506.0,672,1320,0.0,54.37,0.0,0.0,0.0,162.89,518.22,8.35,9.08,8.24,3.21,3.42,4.66,7.64,8.23,8.19,10.39,10.41,10.45,10.54,663.0,0.0,6.995,3.64,0.0,7.551,3.64
2020-10-29,296.99,296.87,378.12,134.19,621.55,560.24,0.0,604,510.0,687,1330,0.0,54.37,0.0,0.0,0.0,167.9,512.72,8.3,9.07,8.22,3.16,3.38,4.62,7.64,8.2,8.16,10.38,10.41,10.45,10.54,503.0,1.06,7.013,3.36,0.0,7.527,3.36
2020-10-30,296.69,296.62,370.62,104.67,627.45,555.14,0.0,628,531.0,721,1370,0.0,54.37,0.0,0.0,0.0,172.7,528.15,8.27,9.14,8.19,3.13,3.33,4.58,7.63,8.16,8.13,10.42,10.45,10.48,10.57,401.0,0.34,7.078,3.31,0.0,7.504,3.31
